Date,Sales,States,County
15/01/2021,3367,Oregon,Douglas
15/01/2021,8006,Pennsylvania,Butler
15/01/2021,9453,Rhode Island,Washington
15/01/2021,8518,South Carolina,Bamberg
15/01/2021,5446,South Dakota,Brown
15/01/2021,7707,Tennessee,Bradley
15/01/2021,8140,Texas,Armstrong
15/01/2021,4705,Utah,Davis
15/01/2021,7119,Virginia,Appomattox
15/01/2021,5383,Washington,Clark
15/01/2021,7389,West Virginia,Cabell
15/01/2021,5775,Wisconsin,Buffalo
15/01/2021,7984,Wyoming,Crook
21/01/2021,5581,Alabama,Butler
21/01/2021,4606,Alaska,Dillingham
21/01/2021,3145,Arizona,La Paz
21/01/2021,7586,Arkansas,Calhoun
21/01/2021,4457,California,Contra Costa
21/01/2021,5515,Colorado,Boulder
21/01/2021,6411,Delaware,Kent
21/01/2021,9947,Florida,Broward
21/01/2021,6473,Georgia,Banks
21/01/2021,3561,Idaho,Ada
21/01/2021,3574,Illinois,Adams
21/01/2021,8554,Indiana,Adams
21/01/2021,3081,Iowa,Adair
21/01/2021,4165,Kansas,Allen
21/01/2021,8858,Kentucky,Adair
21/01/2021,9683,Louisiana,Acadia
21/01/2021,1831,Maine,Androscoggin
21/01/2021,8994,Maryland,Allegany
21/01/2021,1375,Massachusetts,Barnstable
21/01/2021,9754,Michigan,Alcona
21/01/2021,4306,Minnesota,Aitkin
21/01/2021,8914,Mississippi,Adams
21/01/2021,4636,Missouri,Adair
21/01/2021,5843,Montana,Beaverhead
21/01/2021,5578,Nebraska,Adams
21/01/2021,5459,Nevada,Churchill
21/01/2021,4084,New Hampshire,Belknap
21/01/2021,5488,New Jersey,Atlantic
21/01/2021,1465,New Mexico,Bernalillo
21/01/2021,1669,New York,Albany
21/01/2021,6158,North Carolina,Alamance
21/01/2021,8453,North Dakota,Adams
21/01/2021,8489,Ohio,Adams
21/01/2021,6859,Oklahoma,Adair
21/01/2021,9053,Oregon,Baker
21/01/2021,6888,Pennsylvania,Adams
21/01/2021,7758,Rhode Island,Bristol
21/01/2021,5975,South Carolina,Barnwell
21/01/2021,3948,South Dakota,Brule
21/01/2021,3534,Tennessee,Campbell
21/01/2021,8433,Texas,Atascosa
21/01/2021,5379,Utah,Duchesne
21/01/2021,9744,Virginia,Arlington
21/01/2021,5158,Washington,Columbia
21/01/2021,5591,West Virginia,Calhoun
21/01/2021,7778,Wisconsin,Burnett
21/01/2021,4063,Wyoming,Fremont
27/01/2021,4384,Alabama,Calhoun
27/01/2021,3583,Alaska,Fairbanks North Star
27/01/2021,9886,Arizona,Maricopa
27/01/2021,4875,Arkansas,Carroll
27/01/2021,3189,California,Del Norte
27/01/2021,3685,Colorado,Broomfield
27/01/2021,3668,Delaware,New Castle
27/01/2021,5587,Florida,Calhoun
27/01/2021,8577,Georgia,Barrow
27/01/2021,8511,Idaho,Adams
27/01/2021,3583,Illinois,Alexander
27/01/2021,7606,Indiana,Allen
27/01/2021,1145,Iowa,Adams
27/01/2021,1654,Kansas,Anderson
27/01/2021,9544,Kentucky,Allen
27/01/2021,8504,Louisiana,Allen
27/01/2021,5855,Maine,Aroostook
27/01/2021,3751,Maryland,Anne Arundel
27/01/2021,6115,Massachusetts,Berkshire
27/01/2021,6030,Michigan,Alger
27/01/2021,9860,Minnesota,Anoka
27/01/2021,7536,Mississippi,Alcorn
27/01/2021,6500,Missouri,Andrew
27/01/2021,5057,Montana,Big Horn
27/01/2021,8155,Nebraska,Antelope
27/01/2021,5699,Nevada,Clark
27/01/2021,4651,New Hampshire,Carroll
27/01/2021,8686,New Jersey,Bergen
27/01/2021,3866,New Mexico,Catron
27/01/2021,5119,New York,Allegany
27/01/2021,3797,North Carolina,Alexander
27/01/2021,9055,North Dakota,Barnes
27/01/2021,7657,Ohio,Allen
27/01/2021,3545,Oklahoma,Alfalfa
27/01/2021,5515,Oregon,Benton
27/01/2021,8370,Pennsylvania,Allegheny
27/01/2021,9478,Rhode Island,Kent
27/01/2021,9088,South Carolina,Beaufort
27/01/2021,8606,South Dakota,Buffalo
27/01/2021,7083,Tennessee,Cannon
27/01/2021,5505,Texas,Austin
27/01/2021,8169,Utah,Emery
27/01/2021,7177,Virginia,Augusta
27/01/2021,6591,Washington,Cowlitz
27/01/2021,4635,West Virginia,Clay
27/01/2021,5085,Wisconsin,Calumet
27/01/2021,5717,Wyoming,Goshen
02/02/2021,8816,Alabama,Chambers
02/02/2021,4375,Alaska,Haines
02/02/2021,6809,Arizona,Mohave
02/02/2021,5198,Arkansas,Chicot
02/02/2021,6461,California,El Dorado
02/02/2021,4593,Colorado,Chaffee
02/02/2021,8508,Delaware,Sussex
02/02/2021,5650,Florida,Charlotte
02/02/2021,8809,Georgia,Bartow
02/02/2021,8063,Idaho,Bannock
02/02/2021,6451,Illinois,Bond
02/02/2021,7358,Indiana,Bartholomew
02/02/2021,3834,Iowa,Allamakee
02/02/2021,5657,Kansas,Atchison
02/02/2021,5565,Kentucky,Anderson
02/02/2021,4401,Louisiana,Ascension
02/02/2021,1515,Maine,Cumberland
02/02/2021,9073,Maryland,Baltimore
02/02/2021,5017,Massachusetts,Bristol
02/02/2021,8588,Michigan,Allegan
02/02/2021,5461,Minnesota,Becker
02/02/2021,1550,Mississippi,Amite
02/02/2021,9961,Missouri,Atchison
02/02/2021,5886,Montana,Blaine
02/02/2021,3597,Nebraska,Arthur
02/02/2021,8455,Nevada,Douglas
02/02/2021,4645,New Hampshire,Cheshire
02/02/2021,4893,New Jersey,Burlington
02/02/2021,1911,New Mexico,Chaves
02/02/2021,4535,New York,Bronx
02/02/2021,6795,North Carolina,Alleghany
02/02/2021,5758,North Dakota,Benson
02/02/2021,4995,Ohio,Ashland
02/02/2021,5355,Oklahoma,Atoka
02/02/2021,9137,Oregon,Clackamas
02/02/2021,3574,Pennsylvania,Armstrong
02/02/2021,8875,Rhode Island,Newport
02/02/2021,6711,South Carolina,Berkeley
02/02/2021,1809,South Dakota,Butte
02/02/2021,9904,Tennessee,Carroll
02/02/2021,9158,Texas,Bailey
02/02/2021,9831,Utah,Garfield
02/02/2021,7818,Virginia,Bath
02/02/2021,5970,Washington,Douglas
02/02/2021,3366,West Virginia,Doddridge
02/02/2021,5577,Wisconsin,Chippewa
02/02/2021,8695,Wyoming,Hot Springs
08/02/2021,4560,Alabama,Cherokee
08/02/2021,4736,Alaska,Juneau
08/02/2021,5655,Arizona,Navajo
08/02/2021,7658,Arkansas,Clark
08/02/2021,6937,California,Fresno
08/02/2021,8999,Colorado,Cheyenne
08/02/2021,5873,Delaware,Kent
08/02/2021,7348,Florida,Citrus
08/02/2021,5551,Georgia,Ben Hill
08/02/2021,1706,Idaho,Bear Lake
08/02/2021,7098,Illinois,Boone
08/02/2021,9566,Indiana,Benton
08/02/2021,3844,Iowa,Appanoose
08/02/2021,1767,Kansas,Barber
08/02/2021,7609,Kentucky,Ballard
08/02/2021,6647,Louisiana,Assumption
08/02/2021,1971,Maine,Franklin
08/02/2021,4388,Maryland,Calvert
08/02/2021,9494,Massachusetts,Dukes
08/02/2021,6463,Michigan,Alpena
08/02/2021,4458,Minnesota,Beltrami
08/02/2021,9853,Mississippi,Attala
08/02/2021,6039,Missouri,Audrain
08/02/2021,7536,Montana,Broadwater
08/02/2021,6995,Nebraska,Banner
08/02/2021,9009,Nevada,Elko
08/02/2021,9601,New Hampshire,Coos
08/02/2021,8465,New Jersey,Camden
08/02/2021,6341,New Mexico,Cibola
08/02/2021,1359,New York,Broome
08/02/2021,3554,North Carolina,Anson
08/02/2021,1476,North Dakota,Billings
08/02/2021,5766,Ohio,Ashtabula
08/02/2021,4937,Oklahoma,Beaver
08/02/2021,4885,Oregon,Clatsop
08/02/2021,9875,Pennsylvania,Beaver
08/02/2021,7184,Rhode Island,Providence
08/02/2021,4353,South Carolina,Calhoun
08/02/2021,5344,South Dakota,Campbell
08/02/2021,9005,Tennessee,Carter
08/02/2021,7645,Texas,Bandera
08/02/2021,4765,Utah,Grand
08/02/2021,5884,Virginia,Bedford
08/02/2021,4888,Washington,Ferry
08/02/2021,9481,West Virginia,Fayette
08/02/2021,5549,Wisconsin,Clark
08/02/2021,9634,Wyoming,Johnson
14/02/2021,4511,Alabama,Autauga
14/02/2021,1106,Alaska,Aleutians East
14/02/2021,7954,Arizona,Apache
14/02/2021,1411,Arkansas,Arkansas
14/02/2021,8155,California,Alameda
14/02/2021,8961,Colorado,Adams
14/02/2021,5983,Delaware,New Castle
14/02/2021,8109,Florida,Clay
14/02/2021,3539,Georgia,Berrien
14/02/2021,6035,Idaho,Benewah
14/02/2021,5887,Illinois,Brown
14/02/2021,8593,Indiana,Blackford
14/02/2021,4559,Iowa,Audubon
14/02/2021,7687,Kansas,Barton
14/02/2021,5804,Kentucky,Barren
14/02/2021,5576,Louisiana,Avoyelles
14/02/2021,3015,Maine,Hancock
14/02/2021,8584,Maryland,Caroline
14/02/2021,7455,Massachusetts,Essex
14/02/2021,6503,Michigan,Antrim
14/02/2021,1850,Minnesota,Benton
14/02/2021,6931,Mississippi,Benton
14/02/2021,7573,Missouri,Barry
14/02/2021,3094,Montana,Carbon
14/02/2021,5645,Nebraska,Blaine
14/02/2021,5633,Nevada,Esmeralda
14/02/2021,7473,New Hampshire,Grafton
14/02/2021,6319,New Jersey,Cape May
14/02/2021,5873,New Mexico,Colfax
14/02/2021,3764,New York,Cattaraugus
14/02/2021,3954,North Carolina,Ashe
14/02/2021,4116,North Dakota,Bottineau
14/02/2021,9976,Ohio,Athens
14/02/2021,3585,Oklahoma,Beckham
14/02/2021,6983,Oregon,Columbia
14/02/2021,3855,Pennsylvania,Bedford
14/02/2021,8785,Rhode Island,Washington
14/02/2021,5876,South Carolina,Charleston
14/02/2021,5991,South Dakota,Aurora
14/02/2021,8766,Tennessee,Anderson
14/02/2021,3653,Texas,Anderson
14/02/2021,7083,Vermont,Addison
14/02/2021,6350,Virginia,Accomack
14/02/2021,4965,Washington,Adams
14/02/2021,1596,West Virginia,Barbour
14/02/2021,9818,Wisconsin,Adams
14/02/2021,1795,Wyoming,Albany
20/02/2021,6041,Alabama,Baldwin
20/02/2021,3155,Alaska,Aleutians West
20/02/2021,5715,Arizona,Cochise
20/02/2021,1511,Arkansas,Ashley
20/02/2021,4516,California,Alpine
20/02/2021,4040,Colorado,Alamosa
20/02/2021,9448,Delaware,Sussex
20/02/2021,6195,Florida,Alachua
20/02/2021,5533,Georgia,Appling
20/02/2021,9655,Idaho,Bingham
20/02/2021,5496,Illinois,Bureau
20/02/2021,3486,Indiana,Boone
20/02/2021,8739,Iowa,Benton
20/02/2021,7385,Kansas,Bourbon
20/02/2021,9465,Kentucky,Bath
20/02/2021,9470,Louisiana,Beauregard
20/02/2021,3459,Maine,Kennebec
20/02/2021,6985,Maryland,Carroll
20/02/2021,7654,Massachusetts,Franklin
20/02/2021,9531,Michigan,Arenac
20/02/2021,5405,Minnesota,Big Stone
20/02/2021,4804,Mississippi,Bolivar
20/02/2021,4751,Missouri,Barton
20/02/2021,1981,Montana,Carter
20/02/2021,5711,Nebraska,Boone
20/02/2021,3856,Nevada,Eureka
20/02/2021,1795,New Hampshire,Hillsborough
20/02/2021,7033,New Jersey,Cumberland
20/02/2021,1783,New Mexico,Curry
20/02/2021,6510,New York,Cayuga
20/02/2021,8306,North Carolina,Avery
20/02/2021,3379,North Dakota,Bowman
20/02/2021,5967,Ohio,Auglaize
20/02/2021,5118,Oklahoma,Blaine
20/02/2021,7553,Oregon,Coos
20/02/2021,9111,Pennsylvania,Berks
20/02/2021,9916,Rhode Island,Bristol
20/02/2021,8096,South Carolina,Abbeville
20/02/2021,5531,South Dakota,Beadle
20/02/2021,5333,Tennessee,Bedford
20/02/2021,3130,Texas,Andrews
20/02/2021,9400,Vermont,Bennington
20/02/2021,6140,Virginia,Albemarle
20/02/2021,1559,Washington,Asotin
20/02/2021,4573,West Virginia,Berkeley
20/02/2021,4477,Wisconsin,Ashland
20/02/2021,6054,Wyoming,Big Horn
26/02/2021,6691,Alabama,Barbour
26/02/2021,9855,Alaska,Anchorage
26/02/2021,6155,Arizona,Coconino
26/02/2021,5158,Arkansas,Baxter
26/02/2021,4851,California,Amador
26/02/2021,6099,Colorado,Arapahoe
26/02/2021,3891,Delaware,Kent
26/02/2021,4106,Florida,Baker
26/02/2021,4177,Georgia,Atkinson
26/02/2021,5507,Idaho,Blaine
26/02/2021,8488,Illinois,Calhoun
26/02/2021,3538,Indiana,Brown
26/02/2021,4705,Iowa,Black Hawk
26/02/2021,5959,Kansas,Brown
26/02/2021,8540,Kentucky,Bell
26/02/2021,8864,Louisiana,Bienville
26/02/2021,9889,Maine,Knox
26/02/2021,8761,Maryland,Cecil
26/02/2021,8115,Massachusetts,Hampden
26/02/2021,3038,Michigan,Baraga
26/02/2021,5098,Minnesota,Blue Earth
26/02/2021,8767,Mississippi,Calhoun
26/02/2021,1754,Missouri,Bates
26/02/2021,5186,Montana,Cascade
26/02/2021,5877,Nebraska,Box Butte
26/02/2021,6170,Nevada,Humboldt
26/02/2021,5375,New Hampshire,Merrimack
26/02/2021,6453,New Jersey,Essex
26/02/2021,3153,New Mexico,De Baca
26/02/2021,9500,New York,Chautauqua
26/02/2021,5395,North Carolina,Beaufort
26/02/2021,1403,North Dakota,Burke
26/02/2021,1710,Ohio,Belmont
26/02/2021,5778,Oklahoma,Bryan
26/02/2021,9863,Oregon,Crook
26/02/2021,6393,Pennsylvania,Blair
26/02/2021,4555,Rhode Island,Kent
26/02/2021,5695,South Carolina,Aiken
26/02/2021,8170,South Dakota,Bennett
26/02/2021,9607,Tennessee,Benton
26/02/2021,4761,Texas,Angelina
26/02/2021,9343,Vermont,Caledonia
26/02/2021,5671,Virginia,Alleghany
26/02/2021,3754,Washington,Benton
26/02/2021,5683,West Virginia,Boone
26/02/2021,6361,Wisconsin,Barron
26/02/2021,6317,Wyoming,Campbell
04/03/2021,5854,Alabama,Bibb
04/03/2021,1480,Alaska,Bethel
04/03/2021,3081,Arizona,Gila
04/03/2021,5056,Arkansas,Benton
04/03/2021,1055,California,Butte
04/03/2021,3856,Colorado,Archuleta
04/03/2021,9185,Delaware,New Castle
04/03/2021,1993,Florida,Bay
04/03/2021,7638,Georgia,Bacon
04/03/2021,4666,Idaho,Boise
04/03/2021,3575,Illinois,Carroll
04/03/2021,6355,Indiana,Carroll
04/03/2021,6915,Iowa,Boone
04/03/2021,5868,Kansas,Butler
04/03/2021,7409,Kentucky,Boone
04/03/2021,3755,Louisiana,Bossier
04/03/2021,1595,Maine,Lincoln
04/03/2021,8641,Maryland,Charles
04/03/2021,4335,Massachusetts,Hampshire
04/03/2021,5011,Michigan,Barry
04/03/2021,1841,Minnesota,Brown
04/03/2021,4039,Mississippi,Carroll
04/03/2021,4760,Missouri,Benton
04/03/2021,8714,Montana,Chouteau
04/03/2021,8140,Nebraska,Boyd
04/03/2021,1503,Nevada,Lander
04/03/2021,4551,New Hampshire,Rockingham
04/03/2021,5365,New Jersey,Gloucester
04/03/2021,5606,New Mexico,Doña Ana
04/03/2021,5306,New York,Chemung
04/03/2021,1485,North Carolina,Bertie
04/03/2021,9190,North Dakota,Burleigh
04/03/2021,7779,Ohio,Brown
04/03/2021,1059,Oklahoma,Caddo
04/03/2021,9067,Oregon,Curry
04/03/2021,9356,Pennsylvania,Bradford
04/03/2021,6359,Rhode Island,Newport
04/03/2021,9376,South Carolina,Allendale
04/03/2021,9575,South Dakota,Bon Homme
04/03/2021,1485,Tennessee,Bledsoe
04/03/2021,1509,Texas,Aransas
04/03/2021,3945,Vermont,Chittenden
04/03/2021,4563,Virginia,Amelia
04/03/2021,8186,Washington,Chelan
04/03/2021,5478,West Virginia,Braxton
04/03/2021,7897,Wisconsin,Bayfield
04/03/2021,9773,Wyoming,Carbon
10/03/2021,6556,Alabama,Blount
10/03/2021,4587,Alaska,Bristol Bay
10/03/2021,8575,Arizona,Graham
10/03/2021,1599,Arkansas,Boone
10/03/2021,7556,California,Calaveras
10/03/2021,5334,Colorado,Baca
10/03/2021,3398,Delaware,Sussex
10/03/2021,1443,Florida,Bradford
10/03/2021,5860,Georgia,Baker
10/03/2021,3746,Idaho,Bonner
10/03/2021,6343,Illinois,Cass
10/03/2021,4368,Indiana,Cass
10/03/2021,8957,Iowa,Bremer
10/03/2021,6333,Kansas,Chase
10/03/2021,5657,Kentucky,Bourbon
10/03/2021,8608,Louisiana,Caddo
10/03/2021,8415,Maine,Oxford
10/03/2021,5939,Maryland,Dorchester
10/03/2021,5366,Massachusetts,Middlesex
10/03/2021,3910,Michigan,Bay
10/03/2021,5693,Minnesota,Carlton
10/03/2021,4106,Mississippi,Chickasaw
10/03/2021,6978,Missouri,Bollinger
10/03/2021,9318,Montana,Custer
10/03/2021,5486,Nebraska,Brown
10/03/2021,5505,Nevada,Lincoln
10/03/2021,1156,New Hampshire,Strafford
10/03/2021,5609,New Jersey,Hudson
10/03/2021,8839,New Mexico,Eddy
10/03/2021,6833,New York,Chenango
10/03/2021,4547,North Carolina,Bladen
10/03/2021,7995,North Dakota,Cass
10/03/2021,1335,Ohio,Butler
10/03/2021,1379,Oklahoma,Canadian
10/03/2021,7387,Oregon,Deschutes
10/03/2021,7581,Pennsylvania,Bucks
10/03/2021,9088,Rhode Island,Providence
10/03/2021,5819,South Carolina,Anderson
10/03/2021,5911,South Dakota,Brookings
10/03/2021,1915,Tennessee,Blount
10/03/2021,4437,Texas,Archer
10/03/2021,4934,Vermont,Essex
10/03/2021,1179,Virginia,Amherst
10/03/2021,3550,Washington,Clallam
10/03/2021,5736,West Virginia,Brooke
10/03/2021,8384,Wisconsin,Brown
10/03/2021,6039,Wyoming,Converse
16/03/2021,3396,Alabama,Bullock
16/03/2021,8947,Alaska,Denali
16/03/2021,5434,Arizona,Greenlee
16/03/2021,5930,Arkansas,Bradley
16/03/2021,3615,California,Colusa
16/03/2021,7784,Colorado,Bent
16/03/2021,5634,Delaware,Kent
16/03/2021,4046,Florida,Brevard
16/03/2021,9665,Georgia,Baldwin
16/03/2021,6355,Idaho,Bonneville
16/03/2021,7865,Illinois,Champaign
16/03/2021,3967,Indiana,Clark
16/03/2021,9711,Iowa,Buchanan
16/03/2021,6545,Kansas,Chautauqua
16/03/2021,3755,Kentucky,Boyd
16/03/2021,9547,Louisiana,Calcasieu
16/03/2021,5415,Maine,Penobscot
16/03/2021,3159,Maryland,Frederick
16/03/2021,5599,Massachusetts,Nantucket
16/03/2021,4986,Michigan,Benzie
16/03/2021,6735,Minnesota,Carver
16/03/2021,5095,Mississippi,Choctaw
16/03/2021,9086,Missouri,Boone
16/03/2021,9935,Montana,Daniels
16/03/2021,6638,Nebraska,Buffalo
16/03/2021,4788,Nevada,Lyon
16/03/2021,1415,New Hampshire,Sullivan
16/03/2021,7135,New Jersey,Hunterdon
16/03/2021,6160,New Mexico,Grant
16/03/2021,1463,New York,Clinton
16/03/2021,3988,North Carolina,Brunswick
16/03/2021,9583,North Dakota,Cavalier
16/03/2021,7665,Ohio,Carroll
16/03/2021,5868,Oklahoma,Carter
16/03/2021,1507,Oregon,Douglas
16/03/2021,5849,Pennsylvania,Butler
16/03/2021,5370,Rhode Island,Washington
16/03/2021,5576,South Carolina,Bamberg
16/03/2021,1630,South Dakota,Brown
16/03/2021,5096,Tennessee,Bradley
16/03/2021,7587,Texas,Armstrong
16/03/2021,8977,Vermont,Franklin
16/03/2021,4470,Virginia,Appomattox
16/03/2021,5508,Washington,Clark
16/03/2021,1445,West Virginia,Cabell
16/03/2021,7099,Wisconsin,Buffalo
16/03/2021,8607,Wyoming,Crook
22/03/2021,3178,Alabama,Butler
22/03/2021,6667,Alaska,Dillingham
22/03/2021,5577,Arizona,La Paz
22/03/2021,4490,Arkansas,Calhoun
22/03/2021,5563,California,Contra Costa
22/03/2021,3657,Colorado,Boulder
22/03/2021,5413,Delaware,New Castle
22/03/2021,5594,Florida,Broward
22/03/2021,5830,Georgia,Banks
22/03/2021,7975,Idaho,Ada
22/03/2021,3546,Illinois,Adams
22/03/2021,5579,Indiana,Adams
22/03/2021,5347,Iowa,Adair
22/03/2021,9717,Kansas,Allen
22/03/2021,5078,Kentucky,Adair
22/03/2021,5438,Louisiana,Acadia
22/03/2021,5354,Maine,Androscoggin
22/03/2021,3700,Maryland,Allegany
22/03/2021,5546,Massachusetts,Barnstable
22/03/2021,1685,Michigan,Alcona
22/03/2021,3594,Minnesota,Aitkin
22/03/2021,9319,Mississippi,Adams
22/03/2021,5301,Missouri,Adair
22/03/2021,6480,Montana,Beaverhead
22/03/2021,5404,Nebraska,Adams
22/03/2021,9144,Nevada,Churchill
22/03/2021,9055,New Hampshire,Belknap
22/03/2021,8535,New Jersey,Atlantic
22/03/2021,9547,New Mexico,Bernalillo
22/03/2021,6055,New York,Albany
22/03/2021,4591,North Carolina,Alamance
22/03/2021,7983,North Dakota,Adams
22/03/2021,8753,Ohio,Adams
22/03/2021,7607,Oklahoma,Adair
22/03/2021,4501,Oregon,Baker
22/03/2021,9959,Pennsylvania,Adams
22/03/2021,5819,Rhode Island,Bristol
22/03/2021,7531,South Carolina,Barnwell
22/03/2021,7465,South Dakota,Brule
22/03/2021,6016,Tennessee,Campbell
22/03/2021,5116,Texas,Atascosa
22/03/2021,7763,Vermont,Grand Isle
22/03/2021,9059,Virginia,Arlington
22/03/2021,5514,Washington,Columbia
22/03/2021,7951,West Virginia,Calhoun
22/03/2021,4300,Wisconsin,Burnett
22/03/2021,9575,Wyoming,Fremont
28/03/2021,6091,Alabama,Calhoun
28/03/2021,3389,Alaska,Fairbanks North Star
28/03/2021,3175,Arizona,Maricopa
28/03/2021,5077,Arkansas,Carroll
28/03/2021,8838,California,Del Norte
28/03/2021,7135,Colorado,Broomfield
28/03/2021,4141,Delaware,Sussex
28/03/2021,6877,Florida,Calhoun
28/03/2021,6345,Georgia,Barrow
28/03/2021,6659,Idaho,Adams
28/03/2021,3896,Illinois,Alexander
28/03/2021,8135,Indiana,Allen
28/03/2021,5675,Iowa,Adams
28/03/2021,7117,Kansas,Anderson
28/03/2021,6615,Kentucky,Allen
28/03/2021,1351,Louisiana,Allen
28/03/2021,1195,Maine,Aroostook
28/03/2021,3470,Maryland,Anne Arundel
28/03/2021,5587,Massachusetts,Berkshire
28/03/2021,7994,Michigan,Alger
28/03/2021,8835,Minnesota,Anoka
28/03/2021,5441,Mississippi,Alcorn
28/03/2021,7367,Missouri,Andrew
28/03/2021,5718,Montana,Big Horn
28/03/2021,1791,Nebraska,Antelope
28/03/2021,5005,Nevada,Clark
28/03/2021,3746,New Hampshire,Carroll
